"X2.5","X2.0","X1.5","X1.0","X0.5"
0.425399093770656,0.435416605002771,0.470481207360208,0.449453115088463,0.268520878137263
0.427144609256579,0.463976911862242,0.494722082577003,0.446049209698733,0.23772447327345
0.431117880419465,0.460788096480316,0.481952800414189,0.420116671390351,0.232245031399112
0.429890372267886,0.453947576558394,0.482445518705599,0.433907945648946,0.221024605111183
0.418067097310389,0.445810294694949,0.472144540612009,0.436745136420127,0.26220675066708
0.433577525634715,0.447132526524653,0.477935897144027,0.42687191498073,0.262643597610003
0.425080226017935,0.440238068513704,0.470684332582649,0.450286660520075,0.283389456986476
0.430090423048895,0.444049995909596,0.476520104065778,0.442797606506483,0.268768974357027
0.424346186570875,0.452836873819764,0.481568930103156,0.454732569683823,0.23600590672933
0.426122184219454,0.449402932649168,0.480421199684687,0.434673111704934,0.2418645254883
0.415801549063353,0.44450590689398,0.474116443729647,0.462476685060511,0.285389518420353
0.428816140346768,0.448666270623159,0.476593209990256,0.425587815839029,0.235972305743207
0.429624482285451,0.461803389686297,0.485269624129143,0.428547768610192,0.236565816167563
0.426865324879756,0.446779674745237,0.482507700163476,0.429616367182342,0.258995729217316
0.425103674230106,0.448100829250074,0.481374624830985,0.443714664507528,0.228336853057284
0.436212632169099,0.450123614713633,0.488356471966312,0.42846728317188,0.222477967220553
0.43010728564973,0.450208104642268,0.483277789304842,0.449724103997122,0.251578303107968
0.42659874291737,0.444562165641828,0.477772759487392,0.440189926225803,0.237896262636873
0.428782105286462,0.447449032980152,0.472418481448397,0.437354809601354,0.258840728674311
0.427651025149205,0.443684579058231,0.480713039517519,0.455890167871145,0.251497800562396
0.429952798573852,0.453485962245517,0.485116857366564,0.443858954871592,0.247547195967552
0.424385106978782,0.451883109280159,0.479067099707305,0.431831920468832,0.238996264211289
0.425874093958496,0.447317985452053,0.468224620014241,0.423403415345125,0.252527586968265
0.424065103729503,0.448780190263414,0.486542327431083,0.438710605932912,0.23523725365045
0.428306077653182,0.461244982479652,0.486268428230398,0.440310072066218,0.2617353431252
